@relation flows-weka.filters.unsupervised.attribute.Remove-R5-15-weka.filters.unsupervised.attribute.Remove-R1

@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute app {BG,FG}

@data
443,37155,6,15,12612,40,1500,840.8,671.07528,0.000003,4.63749,0.43979,1.16976,6.157014,16,1495,40,333,93.4375,89.4923,0.000142,4.530879,0.41049,1.10359,6.157296,BG
443,58777,6,12,6344,40,1500,528.66667,591.72746,0.000002,1.906805,0.46791,0.58034,5.147055,13,1490,40,365,114.61538,111.35566,0.00031,1.801537,0.24992,0.48775,2.999042,BG
80,58500,6,303,448547,40,1500,1480.35314,163.58326,0,0.802102,0.00993,0.06621,2.998624,244,15712,40,408,64.39344,26.00081,0,1.974221,0.01246,0.12825,3.028256,BG
8080,47564,6,13,852,52,220,65.53846,44.63978,0.000264,23.328315,4.09854,6.64316,49.182501,6,1210,52,516,201.66667,209.13924,0.000305,2.121627,0.50494,0.81084,2.524695,BG
443,50005,6,27,10232,40,1500,378.96296,552.17727,0.000003,10.448992,0.58962,2.02634,15.330227,21,2865,40,1400,136.42857,288.5335,0.000239,10.359652,0.55958,2.24882,11.191555,BG
443,49309,6,16,1935,40,605,120.9375,186.25603,0.000269,6.927995,0.99161,1.81762,14.874171,10,1840,40,893,184,271.35291,0.000931,0.314749,0.11371,0.10093,1.023404,BG
80,44835,6,8,3372,40,1500,421.5,623.83952,0.000016,119.946706,17.5932,41.79131,123.152418,5,480,40,288,96,96.29953,0.022977,0.132807,0.07959,0.05161,0.318352,BG
443,49294,6,22,9162,40,1492,416.45455,578.07563,0.000001,4.88806,0.71479,1.29509,15.010493,17,2397,40,909,141,203.45978,0.000159,3.426697,0.34311,0.83311,5.489769,BG
80,40391,6,4248,5577282,40,1500,1312.91949,483.34604,0,2.041893,0.02583,0.17533,109.705342,2984,172053,40,343,57.65851,24.65681,0,0.946347,0.01226,0.03048,36.562062,BG
443,35306,6,40,48116,40,1500,1202.9,540.89619,0,120.3343,4.63692,21.0038,180.839793,40,2703,40,381,67.575,58.84211,0,120.227106,4.63694,20.98213,180.840683,BG
80,58583,6,214,310646,40,1500,1451.61682,244.73366,0,0.224026,0.00487,0.02041,1.037913,158,10114,40,410,64.01266,29.98776,0.000001,0.43165,0.00661,0.03563,1.038046,BG
443,58484,6,18,14517,40,1500,806.5,640.92843,0.000003,29.911648,1.81488,7.02465,30.852959,20,1598,40,333,79.9,77.41117,0.000216,71.216419,5.38108,16.88101,102.240606,BG
80,53386,6,320,218949,40,1500,684.21563,562.51249,0,209.702312,0.75937,11.73771,242.238882,333,21194,40,258,63.64565,34.28735,0.000001,11.996537,0.09294,0.67249,30.85641,BG
443,46572,6,14,4479,40,1500,319.92857,507.14431,0.000012,35.232126,2.88993,9.34027,37.5691,12,1914,40,1101,159.5,288.57913,0.001002,35.143168,3.25637,10.08373,35.820051,BG
80,40682,6,96,141092,40,1500,1469.70833,207.67101,0,0.115916,0.00679,0.01903,0.645007,66,4222,40,350,63.9697,37.52412,0.000004,0.158087,0.01015,0.02779,0.660017,BG
443,35219,6,265,383282,40,1500,1446.34717,243.99753,0,59.000735,0.31114,3.85141,82.141235,220,14227,40,253,64.66818,24.34718,0.000004,59.00828,0.37511,4.22616,82.15001,BG
8080,41863,6,14,904,52,220,64.57143,43.15705,0.000133,19.264163,4.13075,6.18542,53.699703,7,2319,52,1400,331.28571,460.29143,0.000191,14.874286,2.53159,5.52002,15.18955,BG
443,48037,6,19,23326,52,1500,1227.68421,529.47303,0,0.779435,0.09872,0.17976,1.776912,21,1766,40,366,84.09524,88.68398,0.000125,0.779483,0.09264,0.17065,1.852803,BG
443,36811,6,14,9999,40,1500,714.21429,688.37502,0.000004,1.600018,0.29745,0.44429,3.866818,13,1699,40,717,130.69231,183.25954,0.000014,1.489102,0.19492,0.39695,2.339066,BG
443,52562,6,15,11454,52,1500,763.6,687.25636,0.000123,8.149188,1.11882,2.05475,15.663427,10,1129,52,297,112.9,92.30433,0.100589,7.948534,1.5447,2.7546,13.902283,BG
80,34650,6,447,609868,40,1380,1364.35794,136.65503,0,0.204724,0.00316,0.01727,1.408195,334,20802,40,418,62.28144,25.46487,0.000001,0.107653,0.00423,0.01838,1.408374,BG
80,58543,6,324,440509,40,1380,1359.59568,154.89355,0,0.190411,0.00248,0.0143,0.800619,259,16354,40,410,63.14286,25.81354,0.000001,0.192755,0.0031,0.01575,0.800826,BG
80,43007,6,8,950,40,653,118.75,201.96705,0.000023,18.482957,2.93657,6.35575,20.555988,6,1427,40,1207,237.83333,433.48603,0.000954,18.409703,3.7398,7.33522,18.699015,BG
