@relation flows-weka.filters.unsupervised.attribute.Remove-R16-37-weka.filters.unsupervised.attribute.Remove-R1

@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute app {BG,FG}

@data
80,41715,6,21,1861,40,452,88.61905,114.64748,0.001005,26.94437,2.7352,6.39708,54.703935,BG
443,50413,6,47,13700,40,1500,291.48936,477.53961,0.000003,119.699192,2.73554,17.43637,125.834809,BG
443,48039,6,43,28592,40,1500,664.93023,685.08772,0.000001,0.438191,0.04305,0.07644,1.808077,BG
443,49332,6,36,14393,40,1492,399.80556,565.40692,0.000001,18.784066,1.36124,3.56748,47.643527,BG
443,56018,6,24,5356,40,1500,223.16667,398.89364,0.000005,177.946938,12.98292,42.81269,298.607047,BG
80,58536,6,426,335139,40,1500,786.71127,719.0957,0,0.802008,0.00561,0.04655,2.385997,BG
80,41881,6,15,3054,52,1400,203.6,345.0673,0.000019,179.842759,13.03572,46.26645,182.500075,BG
443,49292,6,38,17100,40,1492,450,603.10648,0.000002,5.199984,0.41864,0.95497,15.489727,BG
443,50001,6,51,14073,40,1500,275.94118,462.53218,0.000001,10.878904,0.3147,1.53205,15.735024,BG
443,49148,6,27,8177,40,1500,302.85185,499.22686,0.000021,73.395593,2.90497,14.09931,75.529241,BG
443,42036,6,35,10236,40,1480,292.45714,425.39288,0.000001,2.561923,0.26682,0.58606,9.071979,BG
443,57636,6,84,36795,52,1464,438.03571,569.00196,0.000001,120.008895,3.28985,17.27033,273.057416,BG
